Beach Name,Month,Year,tavg,tmin,tmax,prcp,wdir,wspd,pres,Footfall,Wave Height (m),Ocean Currents (m/s),Swell Height (m),Storm Surge,Tsunami Alerts,Humidity (%),UV Index,Risk Score,Risk
Palolem Beach,Oct,2022,0.715583508,0.656167979,0.602086438,0.070671097,0.400359724,0.221398305,0.640796703,0.363636364,0.352941176,0.323529412,0.466666667,0,0,0.371428571,0.428571429,0.144289703,High
Alleppey Beach,Dec,2022,0.535290007,0.586614173,0.576005961,0.066691868,0.366185924,0.078036723,0.643543956,0.909090909,0.411764706,0.838235294,0.933333333,0,0,0.542857143,0.428571429,0.2856605,Low
Dhanushkodi Beach,Dec,2022,0.62962963,0.619422572,0.488822653,0.094725533,0.214668754,0.56920904,0.656593407,0.727272727,0.294117647,0.286764706,0.266666667,0,0,0.542857143,0.285714286,0.184399641,Low
Agonda Beach,Jul,2023,0.605171209,0.696194226,0.386736215,1,0.85740932,0.692443503,0.548763736,0.090909091,0.347058824,0.117647059,0.913333333,0,1,0.390857143,0.63,0.456109082,High
Alleppey Beach,Sep,2023,0.509433962,0.666666667,0.470938897,0.383060425,0.874929221,0.337570621,0.664835165,0.272727273,0.352941176,0.360294118,0.166666667,1,0,0.142857143,0.428571429,0.402383271,Medium
Candolim Beach,Feb,2023,0.662473795,0.581364829,0.789120715,0,0.55723945,0.411370056,0.742445055,0.454545455,0.294117647,0.323529412,0.4,0,0,0.285714286,0.285714286,0.147874123,Low
Gokarna Beach,Jun,2022,0.57791754,0.677165354,0.535022355,0.528043612,0.656896379,0.27259887,0.379120879,0.090909091,0.647058824,0.544117647,0.666666667,1,1,0.628571429,0.428571429,0.759604758,High
Agonda Beach,Sep,2023,0.742837177,0.721128609,0.601341282,0.367282784,0.848616061,0.40960452,0.548763736,0.181818182,0.305882353,0.338235294,0.133333333,1,0,0.132,0.404285714,0.380925441,Medium
Gokarna Beach,Feb,2022,0.506638714,0.453412073,0.599105812,0,0.357159511,0.240112994,0.626373626,0.636363636,0.235294118,0.323529412,0.4,0,0,0.342857143,0.428571429,0.170837868,Low
Mandarmani Beach,Jun,2022,0.786862334,0.93832021,0.619970194,0.108175325,0.578156746,0.50529661,0.065934066,0.090909091,0.411764706,0.544117647,0.533333333,0,0,0.628571429,0.571428571,0.127488259,Low
Candolim Beach,Apr,2022,0.797344514,0.777559055,0.74366617,0.036270667,0.900143224,0.195621469,0.524038462,0.181818182,0.352941176,0.360294118,0.4,0,0,0.342857143,0.714285714,0.118262992,Low
Agonda Beach,Apr,2022,1,0.843175853,0.915052161,0.016852032,0.856843087,0.235875706,0.535027473,0.272727273,0.564705882,0.470588235,0.74,1,0,0.552285714,0.401428571,0.450031732,Medium
Dhanushkodi Beach,Dec,2023,0.62962963,0.709317585,0.44485842,0.190227015,0.141924525,0.719279661,0.734203297,0.727272727,0.352941176,0.323529412,0.333333333,0,0,0.4,0.285714286,0.196658105,Low
Diu Beach,May,2022,0.768693222,0.922572178,0.686289121,0,0.8000866,0.751412429,0.291208791,0.272727273,0.411764706,0.470588235,0.533333333,1,0,0.342857143,0.571428571,0.429028075,Medium
Dhanushkodi Beach,Mar,2023,0.755415793,0.698818898,0.661698957,0.024969658,0.25647004,0.478813559,0.710164835,0.363636364,0.411764706,0.360294118,0.466666667,0,0,0.314285714,0.571428571,0.154321033,Low
Diu Beach,Mar,2022,0.700209644,0.69816273,0.777198212,0,0.824867602,0.427612994,0.631181319,0.454545455,0.235294118,0.323529412,0.333333333,0,0,0.2,0.714285714,0.144618004,Low
Gokarna Beach,Dec,2023,0.706498952,0.667979003,0.794336811,0.008734406,0.215867835,0.384533898,0.641483516,0.636363636,0.352941176,0.323529412,0.4,0,0,0.371428571,0.428571429,0.182028357,Low
Kovalam Beach,Aug,2023,0.730957372,0.769028871,0.583457526,0.027078649,0.93391733,0.390536723,0.639423077,0.090909091,0.529411765,0.507352941,0.666666667,1,0,0.771428571,0.285714286,0.420710908,Medium
Dhanushkodi Beach,Nov,2022,0.623340321,0.616141732,0.492548435,0.168122401,0.250408021,0.420550847,0.674450549,0.727272727,0.352941176,0.397058824,0.333333333,0,0,0.485714286,0.428571429,0.201128448,Low
Puri Beach,Dec,2022,0.323549965,0.288057743,0.353204173,0.000318338,0.170735769,0.163488701,0.870192308,0.636363636,0.235294118,0.286764706,0.4,0,0,0.257142857,0.428571429,0.168949169,Low
Marina Beach,Jun,2023,0.910552061,0.916010499,1,0.041781898,0.681211072,0.43079096,0.289148352,0.090909091,0.823529412,0.838235294,1,1,1,0.628571429,0.428571429,0.7996497,High
Diu Beach,Dec,2022,0.510831586,0.454068241,0.563338301,0.000378027,0.194251074,0.325564972,0.826236264,0.636363636,0.235294118,0.286764706,0.333333333,0,0,0.257142857,0.428571429,0.16660999,Low
Candolim Beach,Jul,2023,0.538784067,0.73687664,0.326378539,0.82614751,0.833993938,0.729166667,0.514423077,0.181818182,0.647058824,0.470588235,0.6,1,1,0.657142857,0.428571429,0.77551546,High
Tarkarli Beach,Jun,2023,0.682739343,0.833333333,0.509687034,0.303475856,0.716384106,0.612641243,0.486950549,0.181818182,0.941176471,0.617647059,0.933333333,1,1,0.542857143,0.571428571,0.814752157,High
Candolim Beach,Oct,2023,0.673654787,0.767716535,0.623695976,0.039016335,0.511541152,0.318149718,0.712225275,0.181818182,0.235294118,0.323529412,0.266666667,0,0,0.4,0.285714286,0.096416926,Low
Mandarmani Beach,Jun,2023,0.865828092,1,0.721311475,0.109369093,0.546314492,0.695268362,0.037087912,0.090909091,0.529411765,0.691176471,0.666666667,1,0,0.628571429,0.571428571,0.433613275,Medium
Mandarmani Beach,Sep,2022,0.677847659,0.833989501,0.506706408,0.198105887,0.478799587,0.285310734,0.296703297,0.363636364,0.352941176,0.470588235,0.533333333,0,0,0.485714286,0.285714286,0.155467086,Low
Baga Beach,Feb,2023,0.662473795,0.581364829,0.789120715,0,0.55723945,0.411370056,0.742445055,0.545454545,0.294117647,0.323529412,0.4,0,0,0.285714286,0.285714286,0.161510487,Low
Candolim Beach,May,2022,0.791754018,0.837270341,0.683308495,0.045562165,0.906671552,0.352048023,0.379807692,0.363636364,0.470588235,0.433823529,0.433333333,0,0,0.428571429,0.714285714,0.161940379,Low
Dhanushkodi Beach,Aug,2023,0.809224319,0.733595801,0.725782414,0.001790653,0.561935849,0.678319209,0.534340659,0.272727273,0.411764706,0.433823529,0.466666667,0,0,0.571428571,0.285714286,0.142995777,Low
Candolim Beach,Mar,2023,0.715583508,0.680446194,0.779433681,5.97E-05,0.687339706,0.535310734,0.694368132,0.272727273,0.352941176,0.397058824,0.466666667,0,0,0.342857143,0.571428571,0.138383936,Low
Dhanushkodi Beach,Nov,2023,0.669461915,0.624671916,0.543219076,0.257316806,0.146620924,0.476341808,0.715659341,0.727272727,0.411764706,0.323529412,0.4,0,0,0.342857143,0.428571429,0.205792899,Low
Palolem Beach,Jul,2022,0.656883298,0.719160105,0.467958271,0.788145879,0.897911601,0.462923729,0.461538462,0,0.705882353,0.507352941,0.8,1,1,0.714285714,0.285714286,0.76071584,High
Dhanushkodi Beach,Feb,2023,0.596785465,0.513779528,0.497764531,0.032470504,0.076075009,0.599223164,0.787087912,0.454545455,0.294117647,0.323529412,0.4,0,0,0.371428571,0.428571429,0.152871821,Low
Tarkarli Beach,Mar,2022,0.682739343,0.732283465,0.591654247,0.00417819,0.706658229,0.26730226,0.572115385,0.454545455,0.352941176,0.397058824,0.466666667,0,0,0.057142857,0.714285714,0.161978768,Low
Dhanushkodi Beach,Oct,2023,0.716981132,0.747375328,0.663934426,0.04198086,0.477600506,0.508121469,0.716346154,0.545454545,0.294117647,0.360294118,0.333333333,0,0,0.428571429,0.285714286,0.162952526,Low
Kovalam Beach,Aug,2022,0.589797345,0.670603675,0.468703428,0.161158751,0.934350331,0.364053672,0.503434066,0.090909091,0.470588235,0.507352941,0.6,1,0,0.771428571,0.142857143,0.41168831,Medium
Puri Beach,Nov,2023,0.537386443,0.517060367,0.521609538,0.012076958,0.120307764,0.240819209,0.901785714,0.636363636,0.411764706,0.360294118,0.533333333,0,0,0.371428571,0.571428571,0.198616842,Low
Alleppey Beach,Jun,2023,0.565338924,0.709973753,0.448584203,0.283261376,0.964527196,0.389830508,0.605769231,0,0.147058824,0.029411765,0.666666667,1,1,0.342857143,0.571428571,0.672268263,High
Diu Beach,Dec,2023,0.468204053,0.484251969,0.467958271,0.000457611,0.121306998,0.478460452,0.89010989,0.636363636,0.235294118,0.286764706,0.266666667,0,0,0.342857143,0.428571429,0.165621189,Low
Diu Beach,Feb,2022,0.401118099,0.314304462,0.47466468,0,0.750890984,0.387711864,0.793269231,0.545454545,0.176470588,0.25,0.266666667,0,0,0.257142857,0.571428571,0.144946821,Low
Agonda Beach,Jul,2022,0.656883298,0.719160105,0.467958271,0.788145879,0.897911601,0.462923729,0.461538462,0.090909091,0.182352941,0.602941176,0.093333333,0,0,0.365142857,0.387142857,0.100901811,Low
Diu Beach,Sep,2023,0.754716981,0.855643045,0.843517139,0.044627047,0.818106119,0.654661017,0.396978022,0.272727273,0.294117647,0.397058824,0.4,0,0,0.428571429,0.285714286,0.126283343,Low
Agonda Beach,Jun,2023,0.79594689,0.795931759,0.653502235,0.546348063,0.75215668,0.476341808,0.513049451,0.090909091,0.182352941,0,0.66,1,1,0.455142857,0.59,0.693098931,High
Agonda Beach,Sep,2022,0.687631027,0.68832021,0.523845007,0.207914685,0.786563635,0.331920904,0.54739011,0.181818182,0.647058824,0.669117647,0.006666667,0,1,0.251428571,0.232857143,0.456701759,Medium
Mandarmani Beach,Nov,2022,0.35290007,0.327427822,0.401639344,0,0.531659061,0.162782486,0.8125,0.727272727,0.117647059,0.323529412,0.333333333,0,0,0.2,0.571428571,0.17319365,Low
Dhanushkodi Beach,Aug,2022,0.765897973,0.864829396,0.666915052,0.032729154,0.624587816,0.578742938,0.376373626,0.272727273,0.352941176,0.397058824,0.4,0,0,0.628571429,0.285714286,0.131890302,Low
Tarkarli Beach,Jul,2023,0.49475891,0.719160105,0.213859911,0.875808281,0.806814775,0.837923729,0.512362637,0.090909091,0.764705882,0.544117647,0.866666667,1,1,0.685714286,0.428571429,0.790897525,High
Tarkarli Beach,Feb,2022,0.533892383,0.538713911,0.56780924,0,0.971688372,0.377118644,0.688873626,0.545454545,0.235294118,0.323529412,0.4,0,0,0.142857143,0.571428571,0.158772105,Low
Candolim Beach,Jun,2022,0.619846261,0.708661417,0.502235469,0.597282187,0.766345802,0.225282486,0.396291209,0,0.823529412,0.507352941,0.666666667,1,0,0.542857143,0.857142857,0.444540481,Medium
Diu Beach,Oct,2022,0.714185884,0.791338583,0.685543964,0.000119377,0.49705226,0.354872881,0.671016484,0.454545455,0.294117647,0.323529412,0.333333333,0,0,0.314285714,0.428571429,0.145901144,Low
Diu Beach,Jun,2023,0.787561146,0.935695538,0.623695976,0.188416466,0.695200346,1,0.256868132,0.181818182,0.647058824,0.544117647,0.733333333,1,1,0.485714286,0.428571429,0.772895427,High
Gokarna Beach,Mar,2022,0.667365479,0.637795276,0.681073025,0.005272478,0.497585185,0.214689266,0.509615385,0.545454545,0.352941176,0.397058824,0.466666667,0,0,0.257142857,0.571428571,0.174714194,Low
Alleppey Beach,Jun,2022,0.547868623,0.700787402,0.519374069,0.231332445,0.899477068,0.129237288,0.53228022,0,0.352941176,0.176470588,0.066666667,0,1,0.057142857,0.428571429,0.379234456,Medium
Tarkarli Beach,Jul,2022,0.506638714,0.726377953,0.222056632,0.617874694,0.858275322,0.484463277,0.430631868,0.090909091,0.705882353,0.580882353,0.8,1,1,0.628571429,0.285714286,0.774329295,High
Palolem Beach,Feb,2022,0.710691824,0.475721785,0.757078987,0,0.716883722,0.276483051,0.677197802,0.636363636,0.235294118,0.323529412,0.4,0,0,0.2,0.428571429,0.170228454,Low
Palolem Beach,Jul,2023,0.605171209,0.696194226,0.386736215,1,0.85740932,0.692443503,0.548763736,0,0.764705882,0.544117647,0.866666667,1,1,0.742857143,0.428571429,0.779637956,High
Baga Beach,Aug,2022,0.583508036,0.711942257,0.431445604,0.184258172,0.866668887,0.427259887,0.418956044,0.090909091,0.352941176,0.360294118,0.333333333,0,0,0.571428571,0.571428571,0.104716504,Low
Diu Beach,Sep,2022,0.666666667,0.814304462,0.576005961,0.187481347,0.832961396,0.417372881,0.415521978,0.272727273,0.235294118,0.360294118,0.4,0,0,0.428571429,0.285714286,0.120305634,Low
Kovalam Beach,May,2023,0.86862334,0.830708661,0.737704918,0.078430592,0.920061286,0.211511299,0.582417582,0.272727273,0.588235294,0.544117647,0.733333333,1,0,0.771428571,0.428571429,0.459792303,Medium
Gokarna Beach,Oct,2023,0.65059399,0.738188976,0.56557377,0.083504109,0.498984112,0.311087571,0.706043956,0.363636364,0.294117647,0.323529412,0.4,0,0,0.314285714,0.428571429,0.137036176,Low
Mandarmani Beach,Feb,2023,0.343815514,0.332020997,0.350968703,0.000855534,0.63088299,0.385240113,0.836538462,0.454545455,0.117647059,0.397058824,0.333333333,1,0,0.342857143,0.571428571,0.419839991,Medium
Candolim Beach,Dec,2023,0.670859539,0.653543307,0.739195231,0,0.259600973,0.357344633,0.723214286,0.818181818,0.117647059,0.25,0.2,0,0,0.228571429,0,0.168451074,Low
Marina Beach,Sep,2022,0.721174004,0.775590551,0.713114754,0.098883826,0.641907871,0.185028249,0.399038462,0.181818182,0.470588235,0.544117647,0.733333333,0,0,0.485714286,0.428571429,0.152598639,Low
Kovalam Beach,Jun,2022,0.684835779,0.715879265,0.55514158,0.121107817,0.954668088,0.309675141,0.491071429,0.090909091,0.705882353,0.617647059,0.8,1,1,0.914285714,0.428571429,0.771689691,High
Agonda Beach,Jun,2022,0.732354997,0.751312336,0.575260805,0.63269732,0.744695733,0.266949153,0.429945055,0.090909091,0.464705882,0.191176471,0.04,0,1,0.094857143,0.467142857,0.410143851,Medium
Kovalam Beach,May,2022,0.672257163,0.738845144,0.590909091,0.329559698,0.945208673,0.242584746,0.453983516,0.272727273,0.529411765,0.544117647,0.666666667,1,0,0.771428571,0.571428571,0.457710643,Medium
Palolem Beach,Nov,2022,0.838574423,0.573490814,0.810730253,0.012932492,0.153715485,0.207274011,0.695054945,0.636363636,0.235294118,0.286764706,0.4,0,0,0.314285714,0.571428571,0.171266048,Low
